ID_OLIVO,Rango,Predicción,Variedad_Original
408_31,Rango_menos2,AR,AR
408_4,Rango_menos2,AR,AR
408_5,Rango_menos2,AR,AR
408_6,Rango_menos2,AR,AR
408_7,Rango_menos2,AR,AR
408_8,Rango_menos2,AR,AR
408_9,Rango_menos2,AR,AR
408_1,Rango_1,NO AR,AR
408_10,Rango_1,NO AR,AR
408_11,Rango_1,NO AR,AR
408_12,Rango_1,NO AR,AR
408_13,Rango_1,NO AR,AR
408_14,Rango_1,NO AR,AR
408_15,Rango_1,NO AR,AR
408_16,Rango_1,NO AR,AR
408_17,Rango_1,NO AR,AR
408_18,Rango_1,NO AR,AR
408_19,Rango_1,NO AR,AR
408_2,Rango_1,NO AR,AR
408_20,Rango_1,NO AR,AR
408_21,Rango_1,NO AR,AR
408_22,Rango_1,NO AR,AR
408_23,Rango_1,NO AR,AR
408_24,Rango_1,NO AR,AR
408_25,Rango_1,NO AR,AR
408_26,Rango_1,NO AR,AR
408_27,Rango_1,NO AR,AR
408_28,Rango_1,NO AR,AR
408_29,Rango_1,NO AR,AR
408_3,Rango_1,NO AR,AR
408_30,Rango_1,NO AR,AR
408_31,Rango_1,NO AR,AR
408_4,Rango_1,NO AR,AR
408_5,Rango_1,NO AR,AR
408_6,Rango_1,NO AR,AR
408_7,Rango_1,NO AR,AR
408_8,Rango_1,NO AR,AR
408_9,Rango_1,NO AR,AR
408_1,Rango_2,NO AR,AR
408_10,Rango_2,NO AR,AR
408_11,Rango_2,NO AR,AR
408_12,Rango_2,NO AR,AR
408_13,Rango_2,NO AR,AR
408_14,Rango_2,NO AR,AR
408_15,Rango_2,NO AR,AR
408_16,Rango_2,NO AR,AR
408_17,Rango_2,NO AR,AR
408_18,Rango_2,NO AR,AR
408_19,Rango_2,NO AR,AR
408_2,Rango_2,NO AR,AR
408_20,Rango_2,NO AR,AR
408_21,Rango_2,NO AR,AR
408_22,Rango_2,NO AR,AR
408_23,Rango_2,NO AR,AR
408_24,Rango_2,NO AR,AR
408_25,Rango_2,NO AR,AR
408_26,Rango_2,NO AR,AR
408_27,Rango_2,NO AR,AR
408_28,Rango_2,NO AR,AR
408_29,Rango_2,NO AR,AR
408_3,Rango_2,NO AR,AR
408_30,Rango_2,NO AR,AR
408_31,Rango_2,NO AR,AR
408_4,Rango_2,NO AR,AR
408_5,Rango_2,NO AR,AR
408_6,Rango_2,NO AR,AR
408_7,Rango_2,NO AR,AR
408_8,Rango_2,NO AR,AR
408_9,Rango_2,NO AR,AR
408_1,Rango_3,AR,AR
408_10,Rango_3,AR,AR
408_11,Rango_3,AR,AR
408_12,Rango_3,AR,AR
408_13,Rango_3,AR,AR
408_14,Rango_3,AR,AR
408_15,Rango_3,AR,AR
408_16,Rango_3,AR,AR
408_17,Rango_3,AR,AR
408_18,Rango_3,AR,AR
408_19,Rango_3,AR,AR
408_2,Rango_3,AR,AR
408_20,Rango_3,AR,AR
408_21,Rango_3,AR,AR
408_22,Rango_3,AR,AR
408_23,Rango_3,AR,AR
408_24,Rango_3,AR,AR
408_25,Rango_3,AR,AR
408_26,Rango_3,AR,AR
408_27,Rango_3,AR,AR
408_28,Rango_3,AR,AR
408_29,Rango_3,AR,AR
408_3,Rango_3,AR,AR
408_30,Rango_3,AR,AR
408_31,Rango_3,AR,AR
408_4,Rango_3,AR,AR
408_5,Rango_3,AR,AR
408_6,Rango_3,AR,AR
408_7,Rango_3,AR,AR
408_8,Rango_3,AR,AR
408_9,Rango_3,AR,AR
